ID,DUTName,Impedance,Temperature,Cycle,Status,TimeStamp,TimeTicks
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-2-Temp,S,0,322.4,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-3-Temp,F,0,127.6,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
1-1-Temp,G,0,24,0,,2023/9/14 上午 02:09:22,6.38302541622031E+17
